project_name,summary
Transforming Ellesmere Port Town Centre,"The project will transform Ellesmere Port Market Hall into a more attractive destination, demolish empty buildings at Civic Offices and Coronation Road to free land for new homes, and create a safe cycle route from the train station to the market."
Workington Gateway,"The Workington Gateway project will deliver junction enhancements where the A66 and A596 intersect at Ramsey Brow, improvements to pedestrian and cycling facilities in the town centre, and upgrades to Workington Hall including feature lighting and a new Social Enterprise Centre within the Walled Garden."
Barrow-in-Furness Town Centre,"The Barrow-in-Furness Town Centre project is a £17.5 million Levelling Up Fund scheme to reinvigorate the Market Hall, neighbouring arts and entertainment venue The Forum, and the surrounding public realm to attract more people into the town centre and boost the local economy."
Industrial Solutions Hub (iSH) Enterprise Campus,"The Industrial Solutions Hub (iSH) Enterprise Campus in Cleator Moor involves constructing 1,683 sq m of academic/R&D space, an interim Meanwhile Hub, and an active travel route connecting the town centre to the campus, aiming to deliver economic regeneration and job creation focused on robotics, manufacturing, and digital sectors."
Energy Coast Resilient Routes,"The Energy Coast Resilient Routes project will upgrade 30km of Cumbria's highway network to improve journey reliability and safety, reduce road closures due to highway defects, and better connect communities to jobs and services across the county."
Bolton College of Medical Science (Development),"The Bolton College of Medical Sciences is a £30m project receiving £20m from the Levelling Up Fund to build a new facility in Farnworth, delivered through a partnership between the University of Bolton, Bolton Council, Bolton NHS Foundation Trust, and Bolton College to transform NHS staff training by enabling students to train on the hospital site."
Radcliffe (Civic and Enterprise Hub Development),"The Radcliffe Civic and Enterprise Hub Development will create a new facility in Radcliffe town centre featuring a leisure centre with pool and climbing facilities, relocated library, refurbished market spaces, and offices, aiming to establish a focus for leisure, learning, community, and enterprise."
BuryMarket FlexiHall,"The project will deliver essential improvements to Bury Market, voted Britain's favourite market in 2019, and construct a new flexible venue (flexi hall) to serve as a focus for leisure, events, and enterprise within enhanced public realm."
The Culture in the City project,"The Culture in the City project will regenerate the Upper and Lower Campfield buildings and market area to deliver high-quality, affordable workspace for the tech and creative sectors in Manchester city centre."
Green Technology and Innovation Network,"The Green Technology and Innovation Network project will create 2,285 square metres of incubation space for green businesses at the Green Shoots Centre, develop a pedestrian and cycling greenway linking key sites through the town centre including the new Jubilee Park, aiming to position Oldham as a sustainable destination for green businesses."
Salford Rise (Innovation Zone),"The Salford Rise project will deliver major infrastructure improvements to connect local communities to the Crescent Innovation Zone, including enhanced public realm and connectivity works designed to attract over £90 million of investment into the area."
Ashton (Town Centre Regeneration),"The Ashton Town Centre Regeneration project, funded by £20 million from the Government's Levelling Up Fund, focuses on revitalising Ashton Market Square and the Outdoor Market to transform the town centre, create job opportunities, and provide improved public spaces with better stalls, paving, and pedestrian-friendly areas."
The Redevelopment of Partington Sports Village,"Trafford Council secured £18.3 million from the Government's Levelling Up Fund to refurbish and extend Partington Leisure Centre, creating an improved sports facility to address insufficient facilities and enable greater participation in sporting and leisure activities by residents and local schools."
Haigh Hall,"The Haigh Hall project will restore the Grade II* listed building and its 250-acre woodland park in Wigan, transforming it into a cultural destination of national significance with gallery spaces, event facilities, education suite, and rooftop bar and café."
Blackburn Growth Axis Transport Package (Southeast),"The Blackburn Growth Axis Transport Package (Southeast) will widen the B6232 and A6077 to accommodate additional traffic entering the M65 at Junction 5, and create a new walking and cycling network to improve access to local amenities and tackle congestion."
Multiversity,"The Multiversity project will build a new carbon-neutral education campus in Blackpool's Talbot Gateway to replace the ageing Blackpool and Fylde College with state-of-the-art facilities, accommodating over 2,000 students to meet employer needs."
Burnley Campus Expansion;  Turf Public Realm Transformation; Railway Station Accessibility Improvements (package),"The £19.9 million project comprises three schemes: expanding the University of Central Lancashire campus through redevelopment of former Newtown Mill, environmental improvements linking Turf Moor football ground to the town centre, and accessibility upgrades including passenger lifts at Manchester Road railway station."
The Accrington Acre: Our Heritage-Led Town Centre,"The Accrington Acre project will refurbish and transform Accrington Market Hall into a food and drink destination, and renovate Burton's Chambers and Market Chambers, creating a heritage-led hub for shopping, food, events and culture in the town centre."
"Levelling Up East Lancashire: Creating opportunities through greener, safer and healthier travel","The project will deliver improvements across Burnley, Hyndburn, Pendle and Rossendale through safer, greener and healthier streets initiatives and accessible, vibrant town centres, aiming to improve travel opportunities and access to jobs and services."
Eden Project North,"Eden Project North will transform a derelict site on Morecambe's seafront into a world-class cultural and tourism visitor attraction, with indoor and outdoor facilities expected to draw up to 740,000 visitors annually."
