project_name,status,confidence,source,notes
Eden Project North,rescoped,high,https://www.constructionenquirer.com/2026/02/17/100m-eden-project-morecambe-gets-green-light/,"LUF R2 £50m (Jan 2023). Originally due to open ~2026; in Feb 2026 councillors approved a half-sized redesign (two domes rather than four) and opening slipped to ~2028. Coded rescoped (scope materially reduced) though also heavily delayed - illustrates the rescoped/delayed boundary. Corroborated by BBC 'edging towards 2027' (Aug 2024) and Place North West."
Multiversity,delayed,high,https://www.blackpool.gov.uk/Your-Council/Creating-a-better-Blackpool/Blackpool-Town-Deal/Assets/Documents/Meeting-32/Agenda-Item-4.pdf,"LUF R2 £40m. Council Town Deal board report: extension confirmed 11 April 2025, LUF spend now projected to end March 2028 vs original 2025-26 deadline. Construction (Morgan Sindall) started 2025, completion 2028. Progressing but behind original schedule = delayed."
Haigh Hall,on_track,med,https://www.wigan.gov.uk/Council/Projects/Haigh/Haigh-Hall.aspx,"LUF R2 £20m plus £25m+ Wigan Council and National Lottery Heritage Fund. Restoration underway and described by council/committee as on track; Manchester Evening News (2025) 'on track'. Grade II* hall being converted to arts/culture destination."
Barrow-in-Furness Town Centre,rescoped,med,https://www.westmorlandandfurness.gov.uk/news/2025/decision-be-made-future-barrow-town-centre-scheme,"LUF R1 £16-17.5m for Market Hall / Forum / public realm. June 2025 Cabinet considered NOT progressing the original market hall & public realm scheme, instead developing bolder 'Heart of Barrow' plans funded via the £200m Barrow Transformation Fund. Original LUF scheme being absorbed/redesigned = rescoped (ambiguous vs stalled - flagged as a hard case)."
Radcliffe (Civic and Enterprise Hub Development),on_track,high,https://www.bury.gov.uk/planning-building-control/regeneration/radcliffe-regeneration/radcliffe-hub-progress-and-upcoming-site-works,"LUF R1 £20m, part of £40m Radcliffe Hub. Council: site works ongoing, hub under construction, completion date confirmed. On track / in delivery."
Salford Rise (Innovation Zone),on_track,high,https://www.salford.gov.uk/planning-building-and-regeneration/regeneration/city-centre-salford/crescent/salford-rise/,"LUF R1 £13.17m elevated green walkway / public realm in Crescent Innovation District. Construction began Oct 2024 (New Civil Engineer), bridge from early 2025, completion slated summer 2026. On track."
Ashton (Town Centre Regeneration),on_track,high,https://www.tameside.gov.uk/w/ashton-levelling-up-fund,"LUF R1 £19.87m regenerating Ashton-under-Lyne town centre (Market Square, Town Hall). Manchester Evening News (2025): Market Square works nearing completion by autumn. On track / nearly delivered."
Colne Town Centre (Investment),completed,high,https://www.placenorthwest.co.uk/colne-market-hall-reopens-following-4-8m-revamp/,"LUF R1 £6.5m for Colne (Market Hall makeover, heritage quarter, transport). Flagship Colne Market Hall reopened after £4.8m revamp. Coded completed for the delivered market-hall element; wider heritage-quarter works continue, so this is partial completion (flagged)."
Woodside (Woodside WaterFront Visitor and Gyratory Reconfiguration),on_track,high,https://www.liverpoolcityregion-ca.gov.uk/news/major-woodside-ferry-terminal-upgrade-to-start-as-part-of-23m-plan-to-create-unique-waterfront-destination,"LUF R1 £19.65m Woodside waterfront / active travel / gyratory. £9m Woodside Ferry Terminal upgrade (a core element) started 2024-25 with piling/demolition underway; services set to resume summer 2025. On track / in delivery."
Liverpool City Council Docks Cultural Regeneration,on_track,low,https://www.gov.uk/government/case-studies/20-million-investment-in-liverpools-culture,"LUF R1 £20m split between National Museums Liverpool (Canning/Albert Dock) and Tate Liverpool. Capital works progressing 2024-25; Liverpool Echo notes significant progress expected 2025. On track (slower-moving cultural capital scheme)."
Transforming Ellesmere Port Town Centre,on_track,high,https://www.cheshirewestandchester.gov.uk/residents/regeneration-of-west-cheshire/ellesmere-port-regeneration/transforming-ellesmere-port-town-centre,"LUF R2 £13.38m: market hall transformation, active-travel links, housing site assembly. Council + ellesmereport.market confirm work has begun and is progressing on three fronts. On track / in delivery."
